N	Seq1	Seq2	Seq3	Seq4
803	666 | SA150_0666 | . | UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) | rev | [741680..742603]	682 | SA597_0682 | . | UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) | rev | [753611..754534]	712 | K8B78_03675 | . | UDP-N-acetylmuramate dehydrogenase | rev | [779319..780242]	683 | HMPRNC0000_0815 | murB | UDP-N-acetylenolpyruvoylglucosamine reductase | rev | [788665..789588]
804	667 | SA150_0667 | . | hypothetical protein | rev | [742730..743248]	683 | SA597_0683 | . | hypothetical protein | rev | [754661..755179]	713 | K8B78_03680 | . | GrpB family protein | rev | [780369..780887]	684 | HMPRNC0000_0817 | . | hypothetical protein | rev | [789715..790233]
805	668 | SA150_0668 | . | hypothetical protein | dir | [743368..744246]	684 | SA597_0684 | . | hypothetical protein | dir | [755299..756177]	714 | K8B78_03685 | . | EMYY motif lipoprotein | dir | [781007..781885]	685 | HMPRNC0000_0818 | . | hypothetical protein | dir | [790688..791230]
806	669 | SA150_0669 | . | Uncharacterized protein YtxJ | dir | [744400..744720]	685 | SA597_0685 | . | Uncharacterized protein YtxJ | dir | [756331..756651]	715 | K8B78_03690 | ytxJ | bacillithiol system redox-active protein YtxJ | dir | [782039..782359]	686 | HMPRNC0000_0819 | ytxJ | conserved protein YtxJ | dir | [791383..791703]
807	670 | SA150_0670 | . | Glycerate kinase (EC 2.7.1.31) | dir | [745145..746269]	686 | SA597_0686 | . | Glycerate kinase (EC 2.7.1.31) | dir | [757076..758200]	716 | K8B78_03695 | . | glycerate kinase | dir | [782784..783908]	687 | HMPRNC0000_0821 | . | Glycerate kinase | dir | [792127..793251]
808	671 | SA150_0671 | . | Tripeptide aminopeptidase (EC 3.4.11.4) | rev | [746456..747682]	687 | SA597_0687 | . | Tripeptide aminopeptidase (EC 3.4.11.4) | rev | [758395..759621]	717 | K8B78_03700 | pepT | peptidase T | rev | [784096..785322]	688 | HMPRNC0000_0823 | pepT | Tripeptide aminopeptidase | rev | [793437..794561]
809	672 | SA150_0672 | . | hypothetical protein | rev | [747696..748190]	688 | SA597_0688 | . | hypothetical protein | rev | [759635..760129]	718 | K8B78_03705 | . | threonine/serine exporter family protein | rev | [785336..785830]	689 | HMPRNC0000_0825 | . | hypothetical protein | rev | [794915..795409]
810	673 | SA150_0673 | . | hypothetical protein | rev | [748208..748969]	689 | SA597_0689 | . | hypothetical protein | rev | [760147..760908]	719 | K8B78_03710 | . | threonine/serine exporter ThrE family protein | rev | [785848..786609]	690 | HMPRNC0000_0826 | . | hypothetical protein | rev | [795427..796188]
811	674 | SA150_0674 | . | GGDEF domain protein | rev | [749165..750235]	690 | SA597_0690 | . | GGDEF domain protein | rev | [761104..762174]	720 | K8B78_03715 | . | GGDEF domain-containing protein | rev | [786805..787875]	691 | HMPRNC0000_0827 | . | GGDEF domain protein | rev | [796384..797454]
812	675 | SA150_0675 | . | Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) | dir | [750553..751608]	691 | SA597_0691 | . | Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) | dir | [762492..763547]	721 | K8B78_03720 | . | undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase | dir | [788193..789248]	692 | HMPRNC0000_0828 | tagO | Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase | dir | [797772..798827]
813	676 | SA150_0676 | . | FIG000605: protein co-occurring with transport systems (COG1739) | rev | [751774..752415]	692 | SA597_0692 | . | FIG000605: protein co-occurring with transport systems (COG1739) | rev | [763719..764360]	722 | K8B78_03725 | . | YigZ family protein | rev | [789412..790053]	693 | HMPRNC0000_0829 | . | protein co-occurring with transport systems | rev | [798999..799640]
814	677 | SA150_0677 | . | FIG005590: DegV family protein | dir | [752559..753425]	693 | SA597_0693 | . | FIG005590: DegV family protein | dir | [764504..765370]	723 | K8B78_03730 | fakB1 | fatty acid kinase binding subunit FakB1 | dir | [790197..791063]	694 | HMPRNC0000_0831 | . | DegV family protein | dir | [799784..800650]
815	678 | SA150_0678 | . | ComF operon protein A, DNA transporter ATPase | dir | [753789..754871]	694 | SA597_0694 | . | ComF operon protein A, DNA transporter ATPase | dir | [765735..766817]	724 | K8B78_03735 | . | DEAD/DEAH box helicase | dir | [791427..792509]	695 | HMPRNC0000_0832 | . | ComF operon protein A, DNA transporter ATPase | dir | [801014..802096]
816	679 | SA150_0679 | . | Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy | dir | [754864..755538]	695 | SA597_0695 | . | Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy | dir | [766810..767484]	725 | K8B78_03740 | . | ComF family protein | dir | [792502..793176]	696 | HMPRNC0000_0833 | comF | competence protein F | dir | [802089..802763]
817	680 | SA150_0680 | . | Ribosome hibernation promoting factor Hpf | dir | [755599..756171]	696 | SA597_0696 | . | Ribosome hibernation promoting factor Hpf | dir | [767545..768117]	726 | K8B78_03745 | raiA | ribosome-associated translation inhibitor RaiA | dir | [793237..793809]	697 | HMPRNC0000_0834 | raiA | Ribosome hibernation promoting factor Hpf | dir | [802824..803396]
818	681 | SA150_0681 | . | Protein translocase subunit SecA | dir | [756585..759116]	697 | SA597_0697 | . | Protein translocase subunit SecA | dir | [768532..771063]	727 | K8B78_03750 | secA | preprotein translocase subunit SecA | dir | [794223..796754]	698 | HMPRNC0000_0837 | secA | Protein translocase subunit SecA | dir | [803810..806341]
819	682 | SA150_0682 | . | Peptide chain release factor 2 @ programmed frameshift-containing | dir | [759549..760541]	698 | SA597_0698 | . | Peptide chain release factor 2 @ programmed frameshift-containing | dir | [771496..772488]	729 | K8B78_03760 | prfB | peptide chain release factor 2 | dir | [797069..798179]	699 | HMPRNC0000_0838 | prfB | Peptide chain release factor 2 and programmed frameshift-containing | dir | [806774..807766]
820	683 | SA150_0683 | . | LysM domain protein | dir | [760950..761789]	699 | SA597_0699 | . | LysM domain protein | dir | [772899..773738]	730 | K8B78_03765 | . | CHAP domain-containing protein | dir | [798948..799787]	700 | HMPRNC0000_0839 | . | LysM domain protein | dir | [808175..809014]
821	684 | SA150_0684 | . | Nucleotidase YfbR, HD superfamily | dir | [761962..762612]	700 | SA597_0700 | . | Nucleotidase YfbR, HD superfamily | dir | [773912..774562]	731 | K8B78_03770 | . | HD domain-containing protein | dir | [799961..800611]	701 | HMPRNC0000_0840 | . | Nucleotidase YfbR, HD superfamily | dir | [809188..809838]
822	685 | SA150_0685 | . | hypothetical protein | dir | [762609..762845]	701 | SA597_0701 | . | hypothetical protein | dir | [774559..774795]	732 | K8B78_03775 | . | CsbA family protein | dir | [800608..800844]	702 | HMPRNC0000_0841 | . | hypothetical protein | dir | [809835..810071]
823	686 | SA150_0686 | . | Excinuclease ABC subunit B | dir | [763114..765099]	702 | SA597_0702 | . | Excinuclease ABC subunit B | dir | [775064..777049]	733 | K8B78_03780 | uvrB | excinuclease ABC subunit UvrB | dir | [801113..803098]	703 | HMPRNC0000_0842 | uvrB | Excinuclease ABC subunit B | dir | [810340..812130]
824	687 | SA150_0687 | . | Excinuclease ABC subunit A | dir | [765107..767953]	703 | SA597_0703 | . | Excinuclease ABC subunit A | dir | [777057..779885]	734 | K8B78_03785 | uvrA | excinuclease ABC subunit UvrA | dir | [803106..805952]	704 | HMPRNC0000_0843 | uvrA | Excinuclease ABC subunit A | dir | [812332..815178]
826	688 | SA150_0688 | . | HPr kinase/phosphorylase | dir | [768561..769493]	704 | SA597_0704 | . | HPr kinase/phosphorylase | dir | [780262..781194]	735 | K8B78_03790 | hprK | HPr(Ser) kinase/phosphatase | dir | [806563..807495]	705 | HMPRNC0000_0847 | hprK | HPr kinase/phosphorylase | dir | [815798..816730]
827	689 | SA150_0689 | . | Prolipoprotein diacylglyceryl transferase | dir | [769499..770338]	705 | SA597_0705 | . | Prolipoprotein diacylglyceryl transferase | dir | [781200..782039]	736 | K8B78_03795 | lgt | prolipoprotein diacylglyceryl transferase | dir | [807501..808343]	706 | HMPRNC0000_0848 | lgt | Prolipoprotein diacylglyceryl transferase | dir | [816736..817575]
828	690 | SA150_0690 | . | Putative acetyltransferase YvoF | dir | [770346..770831]	706 | SA597_0706 | . | Putative acetyltransferase YvoF | dir | [782047..782532]	737 | K8B78_03800 | . | acetyltransferase | dir | [808351..808836]	707 | HMPRNC0000_0849 | . | Putative acetyltransferase YvoF | dir | [817583..818068]
829	691 | SA150_0691 | . | TPR domain protein | dir | [770839..772278]	707 | SA597_0707 | . | TPR domain protein | dir | [782540..783979]	738 | K8B78_03805 | . | tetratricopeptide repeat protein | dir | [808844..810283]	708 | HMPRNC0000_0850 | . | TPR domain protein | dir | [818076..819515]
830	692 | SA150_0692 | . | Thioredoxin reductase (EC 1.8.1.9) | dir | [772345..773280]	708 | SA597_0708 | . | Thioredoxin reductase (EC 1.8.1.9) | dir | [784046..784981]	739 | K8B78_03810 | trxB | thioredoxin-disulfide reductase | dir | [810350..811285]	709 | HMPRNC0000_0851 | trxB | Thioredoxin reductase | dir | [819582..820517]
831	693 | SA150_0693 | . | RNase adapter protein RapZ | dir | [773991..774902]	709 | SA597_0709 | . | RNase adapter protein RapZ | dir | [785809..786720]	740 | K8B78_03815 | rapZ | RNase adapter RapZ | dir | [812053..812964]	710 | HMPRNC0000_0852 | . | RNase adapter protein RapZ | dir | [821283..822194]
832	694 | SA150_0694 | . | FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like | dir | [774899..775894]	710 | SA597_0710 | . | FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like | dir | [786717..787712]	741 | K8B78_03820 | . | YvcK family protein | dir | [812961..813956]	711 | HMPRNC0000_0853 | . | LPPG:FO 2-phospho-L-lactate transferase like, CofD-like | dir | [822191..823186]
833	695 | SA150_0695 | . | Sporulation transcription regulator WhiA | dir | [776003..776947]	711 | SA597_0711 | . | Sporulation transcription regulator WhiA | dir | [787823..788767]	742 | K8B78_03825 | whiA | DNA-binding protein WhiA | dir | [814065..815009]	712 | HMPRNC0000_0854 | . | Sporulation transcription regulator WhiA | dir | [823297..824241]
834	696 | SA150_0696 | . | ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92) | dir | [777521..778108]	712 | SA597_0712 | . | ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92) | dir | [789330..789917]	743 | K8B78_03830 | clpP | ATP-dependent Clp endopeptidase proteolytic subunit ClpP | dir | [815578..816165]	713 | HMPRNC0000_0856 | clpP | ATP-dependent Clp protease proteolytic subunit | dir | [824814..825401]
835	697 | SA150_0697 | . | Cell division inhibitor Slr1223 (YfcH in EC), contains epimerase/dehydratase and DUF1731 domains | rev | [778351..779253]	714 | SA597_0714 | . | Cell division inhibitor Slr1223 (YfcH in EC), contains epimerase/dehydratase and DUF1731 domains | rev | [792180..793082]	745 | K8B78_03840 | . | TIGR01777 family oxidoreductase | rev | [818188..819090]	714 | HMPRNC0000_0857 | yfcH | Cell division inhibitor | rev | [825644..826546]
836	698 | SA150_0698 | . | hypothetical protein | dir | [779956..780585]	715 | SA597_0715 | . | hypothetical protein | dir | [793785..794414]	746 | K8B78_03845 | . | DUF4887 domain-containing protein | dir | [819793..820422]	715 | HMPRNC0000_0858 | . | hypothetical protein | dir | [827249..827878]
837	699 | SA150_0699 | . | Central glycolytic genes regulator | dir | [781226..782239]	716 | SA597_0716 | . | Central glycolytic genes regulator | dir | [795023..796036]	747 | K8B78_03850 | . | sugar-binding transcriptional regulator | dir | [820916..821929]	716 | HMPRNC0000_0859 | cggR | central glycolytic regulator | dir | [828582..829595]
838	700 | SA150_0700 | . | NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) | dir | [782292..783302]	717 | SA597_0717 | . | NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) | dir | [796089..797099]	748 | K8B78_03855 | gap | type I glyceraldehyde-3-phosphate dehydrogenase | dir | [821982..822992]	717 | HMPRNC0000_0860 | gapA1 | NAD-dependent glyceraldehyde-3-phosphate dehydrogenase | dir | [829648..830658]
839	701 | SA150_0701 | . | Phosphoglycerate kinase (EC 2.7.2.3) | dir | [783441..784631]	718 | SA597_0718 | . | Phosphoglycerate kinase (EC 2.7.2.3) | dir | [797238..798428]	749 | K8B78_03860 | . | phosphoglycerate kinase | dir | [823131..824321]	718 | HMPRNC0000_0861 | pgk | Phosphoglycerate kinase | dir | [830797..831987]
840	702 | SA150_0702 | . | Triosephosphate isomerase (EC 5.3.1.1) | dir | [784753..785514]	719 | SA597_0719 | . | Triosephosphate isomerase (EC 5.3.1.1) | dir | [798550..799311]	750 | K8B78_03865 | tpiA | triose-phosphate isomerase | dir | [824443..825204]	719 | HMPRNC0000_0863 | tpiA | Triosephosphate isomerase | dir | [832109..832870]
841	703 | SA150_0703 | . | 2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12) | dir | [785517..787034]	720 | SA597_0720 | . | 2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12) | dir | [799314..800831]	751 | K8B78_03870 | gpmI | 2,3-bisphosphoglycerate-independent phosphoglycerate mutase | dir | [825207..826724]	720 | HMPRNC0000_0864 | gpmI | 2,3-bisphosphoglycerate-independent phosphoglycerate mutase | dir | [832873..834390]
842	704 | SA150_0704 | . | Enolase (EC 4.2.1.11) | dir | [787164..788468]	721 | SA597_0721 | . | Enolase (EC 4.2.1.11) | dir | [800961..802265]	752 | K8B78_03875 | eno | phosphopyruvate hydratase | dir | [826854..828158]	721 | HMPRNC0000_0865 | eno | Enolase | dir | [834520..835824]
843	705 | SA150_0705 | . | hypothetical protein | dir | [788807..789265]	722 | SA597_0722 | . | hypothetical protein | dir | [802604..803062]	753 | K8B78_03880 | . | hypothetical protein | dir | [828495..828953]	722 | HMPRNC0000_0867 | . | hypothetical protein | dir | [836175..836633]
844	706 | SA150_0706 | . | Protein translocase membrane subunit SecG | dir | [789332..789565]	723 | SA597_0723 | . | Protein translocase membrane subunit SecG | dir | [803129..803362]	754 | K8B78_03885 | secG | preprotein translocase subunit SecG | dir | [829020..829253]	723 | HMPRNC0000_0868 | secG | Protein translocase membrane subunit SecG | dir | [836700..836933]
845	707 | SA150_0707 | . | Carboxyesterase precursor-like protein | dir | [789681..790421]	724 | SA597_0724 | . | Carboxyesterase precursor-like protein | dir | [803491..804231]	755 | K8B78_03890 | . | carboxylesterase | dir | [829382..830122]	724 | HMPRNC0000_0869 | est | Carboxyesterase precursor-like protein | dir | [837386..837787]
846	708 | SA150_0708 | . | 3'-to-5' exoribonuclease RNase R | dir | [790455..792827]	725 | SA597_0725 | . | 3'-to-5' exoribonuclease RNase R | dir | [804265..806637]	756 | K8B78_03895 | rnr | ribonuclease R | dir | [830156..832528]	725 | HMPRNC0000_0870 | rnr | 3'-to-5' exoribonuclease RNase R | dir | [837821..840193]
847	709 | SA150_0709 | . | tmRNA-binding protein SmpB | dir | [792849..793313]	726 | SA597_0726 | . | tmRNA-binding protein SmpB | dir | [806659..807123]	757 | K8B78_03900 | smpB | SsrA-binding protein SmpB | dir | [832550..833014]	726 | HMPRNC0000_0871 | smpB | tmRNA-binding protein SmpB | dir | [840215..840679]
862	723 | SA150_0723 | . | Hypothetical SAV0808 homolog, near pathogenicity islands SaPI att-site | rev | [801407..802135]	728 | SA597_0728 | . | Hypothetical SAV0808 homolog, near pathogenicity islands SaPI att-site | rev | [808989..809717]	759 | K8B78_03915 | . | DUF5067 domain-containing protein | rev | [834882..835610]	728 | HMPRNC0000_0874 | . | hypothetical protein | rev | [842678..843406]
863	724 | SA150_0724 | . | hypothetical protein | dir | [802733..803254]	729 | SA597_0729 | . | hypothetical protein | dir | [810316..810837]	761 | K8B78_03925 | . | hypothetical protein | dir | [836209..836730]	729 | HMPRNC0000_0875 | . | hypothetical protein | dir | [844004..844525]
864	725 | SA150_0725 | . | hypothetical protein | dir | [803393..803923]	730 | SA597_0730 | . | hypothetical protein | dir | [810976..811506]	762 | K8B78_03930 | . | N-acetyltransferase | dir | [836869..837399]	730 | HMPRNC0000_0876 | . | hypothetical protein | dir | [844664..845194]
865	726 | SA150_0726 | . | Clumping factor ClfA, fibrinogen-binding protein | dir | [804186..807047]	731 | SA597_0731 | . | Clumping factor ClfA, fibrinogen-binding protein | dir | [811770..814655]	763 | K8B78_03935 | clfA | MSCRAMM family adhesin clumping factor ClfA | dir | [837663..840716]	731 | HMPRNC0000_0877 | clfA | Clumping factor ClfA, fibrinogen-binding protein | dir | [845457..848294]
